id,name,company_name_cleaned
1,PANTHEON STUDIOS UK LTD,Pantheon Studios
2,A1 BOOKKEEPING & ACCOUNTANCY SERVICES LTD,A1 Bookkeeping & Accountancy Services
3,AHL LIMITED,Ahl
4,AJCOMMERCE LIMITED,Ajcommerce
5,ABLETT BELL LIMITED,Ablett Bell
6,A2Z ACCESSORIES LIMITED,A2Z Accessories
7,ADVANCED TECHNOVATION LTD,Advanced Technovation
8,ACCUMAC LIMITED,Accumac
9,GLOUCESTERSHIRE MOTORHOME SERVICES LTD,Gloucestershire Motorhome Services
10,ALDABRA LIGHTING LIMITED,Aldabra Lighting
11,INITIATIVES IN CARE LIMITED,Initiatives In Care
12,HEYWARDS LIMITED,Heywards
13,LOMAN HOLBROOKE O'NEILL LIMITED,Loman Holbrooke O'Neill
14,TG TELEMETRICS LTD,Tg Telemetrics
15,RIVER HAMBLE GAMES LTD,River Hamble Games
16,A W DENT LTD,A W Dent
17,ALLDRIVE CLASSIC 4X4 LIMITED,Alldrive Classic 4X4
18,3 WAY COMPONENTS LTD.,3 Way Components
19,1STOPTRAILERS LTD,1Stoptrailers
20,AKROYD CONSULTING LIMITED,Akroyd Consulting
21,365 CREATIVE LIMITED,365 Creative
22,ADVANCED MAINTENANCE SERVICES (WEST MIDLANDS) LTD,Advanced Maintenance Services
23,ALBION MILLS GARAGE LIMITED,Albion Mills Garage
24,RAW MEDIA GROUP LIMITED,Raw Media Group
25,3D REPO LTD,3D Repo
26,SEAHORSE EDUCATION LTD,Seahorse Education
27,GIGGLE AND GROW LIMITED,Giggle And Grow
28,SILVERBIRCH LANDSCAPES LIMITED,Silverbirch Landscapes
29,AIRLESS PLASTERING (WALES) LIMITED,Airless Plastering
30,FUNCTIONAL SHIFT CONSULTING LTD,Functional Shift Consulting
31,ACCOUNTIN LIMITED,Accountin
32,HARDDRIVE SYSTEMS LIMITED,Harddrive Systems
33,AIRFRAMER LTD,Airframer
34,INDIGROW (UK) LIMITED,Indigrow
35,ALPH CAPITAL LIMITED,Alph Capital
36,AMPCO 122 LIMITED,Ampco 122
37,FREDS SHEDS LIMITED,Freds Sheds
38,STRATEGIC INNOVATIVE FINANCE LTD.,Strategic Innovative Finance
39,4 ACRE ENVIRONMENTAL LIMITED,4 Acre Environmental
40,DML PRINT HOUSE LIMITED,Dml Print House
41,TREGNO RESOURCING LTD,Tregno Resourcing
42,WELLFIELD DIGITAL LIMITED,Wellfield Digital
43,V&V PROPERTIES LTD.,V&V Properties
44,SARA DM ENTERPRISES LTD.,Sara Dm Enterprises
45,EQES LTD,Eqes
46,CAFFE D'ORATO LIMITED,Caffe D'Orato
47,GEORGE LOWDEN & COMPANY LIMITED,George Lowden
48,THE CARRUTH FINANCIAL GROUP LIMITED,The Carruth Financial Group
49,BROOMFIELD NURSERIES LIMITED,Broomfield Nurseries
50,ECONOCHEM LIMITED,Econochem
51,ETTRICK COMPUTER SERVICES LIMITED,Ettrick Computer Services
52,WAM LIMITED,Wam
53,FARNBECK SWANFIELD LIMITED,Farnbeck Swanfield
54,BELL FACILITIES MANAGEMENT LIMITED,Bell Facilities Management
55,HOLLAND (GLASGOW) INSURANCE BROKERS LTD,Holland Insurance Brokers
56,JOHN MEIKLE (CONTRACTORS) LIMITED,John Meikle
57,AQUATECH ENVIRONMENTAL SERVICES LIMITED,Aquatech Environmental Services
58,DAVID SCOTT (AGENCIES) LIMITED,David Scott
59,J C S BUILDERS LIMITED,J C S Builders
60,FORREST HOLDINGS LIMITED,Forrest Holdings
61,GEMSEARCH LIMITED,Gemsearch
62,BRAND ROSS LIMITED,Brand Ross
63,CADHAM CONSULTANCY LTD.,Cadham Consultancy
64,ARMOUR CLASS LIMITED,Armour Class
65,HINDU CULTURAL SOCIETY OF HAVERING,Hindu Cultural Society Of Havering
66,CHOOB'S LTD,Choob'S
67,ALDERBRIDGE CONSULTING LIMITED,Alderbridge Consulting
68,ENTEL CONSULTING GROUP LIMITED,Entel Consulting Group
69,KEY TRANSPORT LIMITED,Key Transport
70,ASPECTS OF WINE LIMITED,Aspects Of Wine
